,dialogue_with_speaker
0,"NARRATOR:First scene opens with three Rangers riding through a tunnel, leaving the Wall, and going into the woods. (Eerie music in background) One Ranger splits off and finds a campsite full of mutilated bodies, including a child hanging from a tree branch. A birds-eye view shows the bodies arranged in a shield-like pattern. The Ranger rides back to the other two."
1,"WAYMAR ROYCE: What d’you expect? They’re savages. One lot steals a goat from another lot and before you know it, they’re ripping each other to pieces."
2,"WILL: I’ve never seen wildlings do a thing like this. I’ve never seen a thing like this, not ever in my life."
3,WAYMAR ROYCE: How close did you get?
4,WILL: Close as any man would.
5,GARED: We should head back to the wall.
6,ROYCE: Do the dead frighten you?
7,GARED: Our orders were to track the wildlings. We tracked them. They won’t trouble us no more.
8,ROYCE: You don’t think he’ll ask us how they died? Get back on your horse.
9,NARRATOR:GARED grumbles.
10,WILL: Whatever did it to them could do it to us. They even killed the children.
11,"ROYCE: It’s a good thing we’re not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don’t catch you first. Get back on your horse. I won’t say it again."
12,"NARRATOR:WILL glares, but obeys. Sometime later, the three Rangers return to the campsite, which is now completely cleared."
13,ROYCE: Your dead men seem to have moved camp.
14,WILL: They were here.
15,GARED: See where they went.
16,"NARRATOR:The three look around, swords drawn. They hear the wind and eerie calls. GARED finds a red cloth in the snow."
17,ROYCE: What is it?
18,GARED: It’s …
19,"NARRATOR:As he speaks, a CREATURE with glowing blue eyes rises behind ROYCE. ROYCE turns, the CREATURE strikes. The scene shifts to WILL, who hears a man crying out. The three horses stampede past him. He turns and sees someone standing very still in the distance. The figure turns – it’s the child who had been suspended in the tree, now with glowing blue eyes. WILL turns and runs."
20,"NARRATOR:GARED is also fleeing, and we hear strange growls and catch glimpses of the CREATURE. Both terrified RANGERS stop, some distance apart, to catch their breath. WILL sees a CREATURE behead GARED. WILL sinks to his knees and the CREATURE tosses GARED’S head to him."
21,NARRATOR:Blackout
22,"NARRATOR:TITLE SEQUENCERiders from Winterfell come up behind a dazed WILL. The scene shifts to the castle, where BRAN is practicing archery and getting frustrated, under the eyes of JON SNOW and ROBB STARK. JON pats BRAN’S shoulder."
23,JON: Go on. Father’s watching.
24,NARRATOR:We see NED and CATELYN STARK watching from above.
25,JON: And your mother.
26,NARRATOR:Scene shifts to needlework practice with the girls inside the castle.
27,"SEPTA MORDANE (to SANSA): Fine work, as always. Well done."
28,SANSA: Thank you.
29,SEPTA MORDANE: I love the detail that you’ve managed to get in this corners. … Quite beautiful … the stitching …
30,"NARRATOR:As she murmurs to SANSA about the embroidery, ARYA struggles with her needlework and listens to the arrows hitting and the male laughter outside."
